,date_time,mid,instrument
549,2019-01-31 13:14:59,107.877,H
550,2019-01-31 13:19:59,107.635,F
551,2019-01-31 13:24:59,105.223,J
552,2019-01-31 13:29:59,107.642,F
553,2019-01-31 13:34:59,105.228,J
554,2019-01-31 13:39:59,107.693,F
555,2019-01-31 13:44:59,107.697,F
556,2019-01-31 13:49:59,107.704,F
557,2019-01-31 13:54:59,100.652,E
558,2019-01-31 13:59:59,112.806,I
559,2019-01-31 14:04:59,101.641,A
560,2019-01-31 14:09:59,106.43,B
561,2019-01-31 14:14:59,107.696,F
562,2019-01-31 14:19:59,112.808,I
563,2019-01-31 14:24:59,100.662,E
564,2019-01-31 14:29:59,105.302,J
565,2019-01-31 14:34:59,100.666,E
566,2019-01-31 14:39:59,107.72,F
567,2019-01-31 14:44:59,100.668,E
568,2019-01-31 14:49:59,107.743,F
569,2019-01-31 14:54:59,107.745,F
570,2019-01-31 14:59:59,106.522,B
571,2019-01-31 15:04:59,107.755,F
572,2019-01-31 15:09:59,106.583,B
573,2019-01-31 15:14:59,100.685,E
574,2019-01-31 15:19:59,107.85,F
575,2019-01-31 15:24:59,105.44,J
576,2019-01-31 15:29:59,100.694,E
577,2019-01-31 15:34:59,100.696,E
578,2019-01-31 15:39:59,107.967,F
579,2019-01-31 15:44:59,103.188,G
580,2019-01-31 15:49:59,105.489,J
581,2019-01-31 15:54:59,100.689,E
582,2019-01-31 15:59:59,100.69,E
583,2019-01-31 16:04:59,105.476,J
584,2019-01-31 16:09:59,107.996,F
585,2019-01-31 16:14:59,107.948,F
586,2019-01-31 16:19:59,106.817,B
587,2019-01-31 16:24:59,105.471,J
588,2019-01-31 16:29:59,107.94,F
589,2019-01-31 16:34:59,107.994,H
590,2019-01-31 16:39:59,105.439,J
591,2019-01-31 16:44:59,107.914,F
592,2019-01-31 16:49:59,107.918,F
593,2019-01-31 16:54:59,107.934,F
594,2019-01-31 16:59:59,106.793,B
595,2019-02-01 07:09:59,103.153,G
596,2019-02-01 07:14:59,101.826,A
597,2019-02-01 07:19:59,105.382,J
598,2019-02-01 07:24:59,103.087,G
599,2019-02-01 07:29:59,101.744,A
600,2019-02-01 07:34:58,107.839,F
601,2019-02-01 07:39:59,103.112,G
602,2019-02-01 07:44:59,106.731,B
603,2019-02-01 07:49:59,107.972,H
604,2019-02-01 07:54:59,105.433,J
605,2019-02-01 07:59:59,103.151,G
606,2019-02-01 08:04:58,105.466,J
607,2019-02-01 08:09:59,101.312,C
608,2019-02-01 08:14:59,103.195,G
609,2019-02-01 08:19:59,101.376,C
610,2019-02-01 08:24:59,105.52,J
611,2019-02-01 08:29:59,106.863,B
612,2019-02-01 08:34:59,105.541,J
613,2019-02-01 08:39:59,103.259,G
614,2019-02-01 08:44:59,125.593,K
615,2019-02-01 08:49:58,112.948,I
616,2019-02-01 08:54:59,100.735,E
617,2019-02-01 08:59:59,103.243,G
618,2019-02-01 09:04:58,103.226,G
619,2019-02-01 09:09:59,108.064,H
620,2019-02-01 09:14:59,105.477,J
621,2019-02-01 09:19:58,101.275,C
622,2019-02-01 09:24:59,107.975,H
623,2019-02-01 09:29:59,107.756,F
624,2019-02-01 09:34:59,112.84,I
625,2019-02-01 09:39:59,107.928,H
626,2019-02-01 09:44:59,105.251,J
627,2019-02-01 09:49:59,106.327,B
628,2019-02-01 09:54:59,101.616,A
629,2019-02-01 09:59:59,101.573,A
630,2019-02-01 10:04:59,112.681,I
631,2019-02-01 10:09:59,105.009,J
632,2019-02-01 10:14:59,105.01,J
633,2019-02-01 10:19:59,105.859,B
634,2019-02-01 10:24:59,105.937,B
635,2019-02-01 10:29:59,105.056,J
636,2019-02-01 10:34:59,105.08,J
637,2019-02-01 10:39:59,105.145,J
638,2019-02-01 10:44:59,106.155,B
639,2019-02-01 10:49:59,105.156,J
640,2019-02-01 10:54:59,102.977,G
641,2019-02-01 10:59:59,107.855,H
642,2019-02-01 11:04:59,101.09,C
643,2019-02-01 11:09:59,101.107,C
644,2019-02-01 11:14:59,105.229,J
645,2019-02-01 11:19:59,112.76,I
646,2019-02-01 11:24:59,107.651,F
647,2019-02-01 11:29:59,107.908,H
